customer_id,product_id,product_title,product_category,rating,review_date
50423057,B00JWXFDMG,Everbling Purple and Clear Briolette Drop Swarovski Elements Crystal Earrings,Jewelry,5,31-08-2015
50423057,B00JWXFDMG,Everbling Purple and Clear Briolette Drop Swarovski Elements Crystal Earrings,Jewelry,5,31-08-2015
33684654,B00VLMW18K,Scheppend Polymer Clay Cute Cartoon Fox Handmade Stud Earrings ¡­,Jewelry,4,31-08-2015
33684654,B00VLMW18K,Scheppend Polymer Clay Cute Cartoon Fox Handmade Stud Earrings ¡­,Jewelry,4,31-08-2015
11262325,B00W5T1H9W,925 Sterling Silver Finish 6ct Simulated Diamond Stud Set,Jewelry,5,31-08-2015
11262325,B00W5T1H9W,925 Sterling Silver Finish 6ct Simulated Diamond Stud Set,Jewelry,5,31-08-2015
41583822,B00UMGXJJQ,Claire's Accessories Girls Gold Chain Link Stretch Bracelet,Jewelry,5,31-08-2015
41583822,B00UMGXJJQ,Claire's Accessories Girls Gold Chain Link Stretch Bracelet,Jewelry,5,31-08-2015
27541121,B00M2L6KFY,"Sterling Silver Circle ""Friends Forever"" Infinity Symbol Pendant Necklace, 18""",Jewelry,5,31-08-2015
27541121,B00M2L6KFY,"Sterling Silver Circle ""Friends Forever"" Infinity Symbol Pendant Necklace, 18""",Jewelry,5,31-08-2015
23493178,B00AJ2VU8A,"3-row White A Grade Freshwater Cultured Pearl Necklace (6.5-7.5mm), 16.5"", 17""/18""",Jewelry,5,31-08-2015
23493178,B00AJ2VU8A,"3-row White A Grade Freshwater Cultured Pearl Necklace (6.5-7.5mm), 16.5"", 17""/18""",Jewelry,5,31-08-2015
5350721,B0006SW2WU,"Surgical Stainless Steel Domed 9mm Fishbone Ring Wedding Band Comfort-Fit, sizes 7 - 14",Jewelry,5,31-08-2015
5350721,B0006SW2WU,"Surgical Stainless Steel Domed 9mm Fishbone Ring Wedding Band Comfort-Fit, sizes 7 - 14",Jewelry,5,31-08-2015
30978102,B00449ZF4O,Large Watch/Cuff Bracelet Jewelry Gift Box: Carnival Collection,Jewelry,3,31-08-2015
30978102,B00449ZF4O,Large Watch/Cuff Bracelet Jewelry Gift Box: Carnival Collection,Jewelry,3,31-08-2015
24484424,B009YPDW70,"Sterling Silver Family Pendant Necklace, 18""",Jewelry,5,31-08-2015
24484424,B009YPDW70,"Sterling Silver Family Pendant Necklace, 18""",Jewelry,5,31-08-2015
12037665,B00XAWUP96,Royal Blue/White KC ROYALS Silver Tone Multi Charm Toggle Bracelet Kansas City Sports,Jewelry,4,31-08-2015
12037665,B00XAWUP96,Royal Blue/White KC ROYALS Silver Tone Multi Charm Toggle Bracelet Kansas City Sports,Jewelry,4,31-08-2015
457767,B00QGA8XZM,CHOOSE YOUR COLOR Sterling Silver Heart Promise Ring,Jewelry,5,31-08-2015
457767,B00QGA8XZM,CHOOSE YOUR COLOR Sterling Silver Heart Promise Ring,Jewelry,5,31-08-2015
43536220,B004XJDW2W,"Disney ""Princess"" Girl's Sterling Silver Pink Cubic Zirconia Heart Pendant Necklace and Chain, 18""",Jewelry,4,31-08-2015
43536220,B004XJDW2W,"Disney ""Princess"" Girl's Sterling Silver Pink Cubic Zirconia Heart Pendant Necklace and Chain, 18""",Jewelry,4,31-08-2015
