customer_id,product_id,product_title,product_category,rating,review_date
18513645,B01XRKNA,Amazon.com Gift Card - Colorful and Authentic (Birds),Gift Card,5,31-08-2015
15100528,B007E062F,Amazon Gift Card - Home Box,Gift Card,5,31-08-2015
861463,B00B2O1Z8,Amazon.com ePrint Card,Gift Card,3,31-08-2015
45059028,B004P0SJL8,Amazon.com gift card products shipping options and customs options (Permanent),Gift Card,5,31-08-2015
8071248,B0D5F1D7,Gift Cards - Card Gift Card,Gift Card,4,31-08-2015
22484620,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,31-08-2015
18985804,B004KL4BJU,Amazon Gift Card - Free Delivery for All (Amazon Pays Canada Paypal),Gift Card,5,31-08-2015
479599,B00A8E2B1,Amazon eGift Card - Happy Birthday (Pants),Gift Card,4,31-08-2015
9033254,B04V5Y1X,Coupons and Payments - Add-on,Gift Card,3,31-08-2015
25391946,B00IX1I3G6,Amazon.com Gift Card Balance Reload,Gift Card,5,31-08-2015
15837872,B00B4D4B6A,Amazon eGift Card - Upload Your Photo- Free (Animated) - Upload Your Photo,Gift Card,3,31-08-2015
43309,K6E5C7DF,"Amazon.com Gift Cards, Pack of 10 (Various Card Designs)",Gift Card,5,31-08-2015
5539254,B002ZXXHY,Amazon Gift Cards,Gift Card,5,31-08-2015
16003607,B000017C4,Amazon eGift Card - Home Depot Gift Card - Holiday - Gift for your Christmas,Gift Card,5,31-08-2015
11692003,B004W8D0Y3,Amazon Card - Amazon Web Services App,Gift Card,5,31-08-2015
23733158,b00U5P7G2M,Amazon Gift Card - Wish you loved us!,Gift Card,3,31-08-2015
16003607,B10HW9N8F2,Amazon Gift Card - Print - Happy Birthday (Chocolate),Gift Card,3,31-08-2015
51027592,BCAAKF7RXW,Amazon Gift Card - Print - Valentine's Day,Gift Card,5,31-08-2015
16003607,B003G5N45,Amazon.com eGift Cards - Gift cards (purchase cards),Gift Card,5,31-08-2015
42489718,B004LLIKVU,Amazon.com eGift Cards,Gift Card,5,31-08-2015
30067162,B007FRUJI,Amazon.com Gift Box in a White Gift Box - A Very Small Gift Package,Gift Card,5,31-08-2015
1858026,B104513D3,Customer Title: Amazon's Business Card - Share Your Credit Cards,Gift Card,5,31-08-2015
52534783,F6D8BE7KZ,Amazon Gift Cards with a Smile Button (Original White & Purple),Gift Card,5,31-08-2015
397970,B003TKVQ,Amazon.com Gift Cards,Gift Card,0,31-08-2015
37563315,B004KQV3EN,Print on Cards from Amazon - Free - Print - Create an Account,Gift Card,5,31-08-2015
10320121,B004Z4G5R0,"Christmas Card - Gift-card - Gift-cards by a Happy Christmas (Awards, etc.)",Gift Card,5,31-08-2015
12857231,B007RFOMC7,Amazon.com Gift Card in a Blue Gift Box (Classic White Card Design),Gift Card,3,31-08-2015
20241560,B005V8W4T4,Amazon Gift Card - Gift Card Gift (Permanent),Gift Card,5,31-08-2015
37563315,B154FFFK,Amazon.com eGift Cards (Premium Only),Gift Card,1,31-08-2015
15851334,B00FTKQI,Amazon Gift Card - A Small Business Owner's Day Card (Current Gifter and Gifter Design),Gift Card,5,31-08-2015
52785613,B009H0HYG5,Best of the Best,Gift Card,5,31-08-2015
397970,B0000IJU9Y2,Amazon Gift Card - Print - New Birthday (Presents!),Gift Card,5,31-08-2015
5633979,B00IX1I3G6,Amazon.com Gift Card Balance Reload,Gift Card,2,31-08-2015
39359555,B004WJ0M,Amazon.com eBooks,Gift Card,5,31-08-2015
41238378,B015DFK9R,"Amazon Gift Card - Gift Card Gift Packs, Gift Box Gift Packes, Special Edition Gift Card Card, Card Gift Packes [Hollander]",Gift Card,3,31-08-2015
30984333,C00SZY5,Amazon.com E-Money Gift Card,Gift Card,3,31-08-2015
107002,B00A8ED9AA,Amazon Gift Card - Artwork (Cupcake),Gift Card,5,31-08-2015
14285285,B00A14KJ1,Paypal Gift Card + Card Reader,Gift Card,1,31-08-2015
28726648,Q0Z0T6B8W,Amazon Gift Card - Happy Birthday (Cities),Gift Card,4,31-08-2015
13962038,B00C6WVXK,Product Name: Gift Card - Amazon Gift Card (Animated) [Animated],Gift Card,5,31-08-2015
397970,B003VQV0,Free Shipping on all your gift cards,Gift Card,5,31-08-2015
15100528,B0005E8DD6,Amazon Gift Card - Holiday Promo Cards,Gift Card,5,31-08-2015
2026222,ABB7BXC,The Man with the Golden Earrings,Gift Card,5,31-08-2015
23413911,B01BXTDE7,Amazon Gift Cards - Share Your Photo,Gift Card,3,31-08-2015
22060822,B00A48G0D4,Amazon eGift Card - Happy Birthday (Candles),Gift Card,5,31-08-2015
52534783,C02D54TX,Amazon Gift Card - Happy Birthday Gift Card (Tea),Gift Card,4,31-08-2015
45059028,B00V7QA1J3,Customer ID: 6676523 Product Name: Kindle Fire X Compact Camera - FREE with shipping,Gift Card,5,31-08-2015
37107850,B002VV6R2,Walmart Gift Card - Getaway,Gift Card,5,31-08-2015
28088591,B004LLI5M,Amazon.com eXtreme Gold Signature Card,Gift Card,5,31-08-2015
10320121,B00KJ5RKY,Gifts! Gifts!,Gift Card,4,31-08-2015
41446926,B00D8L2F7,Amazon Gift Card - Valentine's Day (Animated),Gift Card,4,31-08-2015
